測 测
檯 台
頸 颈
鞽 鞒
轂 毂
曇 昙
應 应
鐳 镭
荊 荆
髏 髅
譚 谭
虜 虏
緡 缗
鱠 鲙
驤 骧
盧 卢
釩 钒
獪 狯
黷 黩
絶 绝
矽 硅
發 发
澂 澄
誄 诔
昇 升
尋 寻
莊 庄
續 续
騏 骐
禎 祯
錕 锟
涖 莅
梘 枧
讚 赞
紡 纺
鬥 斗
瘧 疟
氫 氢
嗆 呛
輭 软
榮 荣
縷 缕
碸 砜
霽 霁
鈿 钿
熾 炽
賀 贺
係 系
諄 谆
黌 黉
軌 轨
絡 络
煩 烦
滬 沪
槮 椮
復 复
聳 耸
蟲 虫
鉿 铪
燾 焘
誅 诛
欄 栏
搆 构
脈 脉
舊 旧
纍 累
箏 筝
頎 颀
澗 涧
褘 袆
岡 冈
嬤 嬷
鐦 锎
刪 删
漬 渍
殯 殡
雜 杂
閻 阎
鎿 镎
瀾 澜
賁 贲
鵡 鹉
槃 盘
巋 岿
猶 犹
彌 弥
顎 颚
釓 钆
癒 愈
動 动
鍔 锷
聞 闻
鵠 鹄
擱 搁
兩 两
貒 猯
亂 乱
樅 枞
牀 床
紋 纹
後 后
飯 饭
鈕 钮
鎔 镕
沖 冲
覘 觇
攛 撺
誚 诮
簡 简
綠 绿
飇 飙
霧 雾
擰 拧
銪 铕
薰 熏
強 强
頹 颓
鍵 键
窺 窥
瞼 睑
傾 倾
蓆 席
懍 懔
壎 埙
鑑 鉴
闐 阗
鉕 钷
櫚 榈
晝 昼
締 缔
廢 废
驥 骥
鯤 鲲
適 适
鋪 铺
濬 浚
譯 译
慳 悭
菴 庵
罷 罢
糶 粜
塹 堑
駸 骎
嫺 娴
陽 阳
澁 涩
蜆 蚬
興 兴
鰌 鳅
喬 乔
銓 铨
癘 疠
兇 凶
記 记
諛 谀
謄 誊
崢 峥
頤 颐
鎩 铩
溫 温
優 优
氬 氩
騸 骟
隻 只
餺 馎
閽 阍
濁 浊
櫃 柜
擇 择
難 难
魎 魉
釕 钌
達 达
詘 诎
藝 艺
摜 掼
髣 仿
絢 绚
塤 埙
靦 腼
軫 轸
豬 猪
嶼 屿
齶 腭
電 电
鑼 锣
鍾 钟
漁 渔
訃 讣
萇 苌
縋 缒
憊 惫
納 纳
鮎 鲇
霑 沾
皐 皋
閒 闲
鄕 乡
蓯 苁
侖 仑
謙 谦
誘 诱
攝 摄
騣 鬃
嶢 峣
夥 伙
鐧 锏
鞦 秋
錩 锠
銨 铵
冪 幂
責 责
殮 殓
誼 谊
斲 斫
鰷 鲦
羶 膻
瘻 瘘
潁 颍
軀 躯
棄 弃
鵂 鸺
塏 垲
闒 阘
陸 陆
譙 谯
虛 虚
齡 龄
廠 厂
鍩 锘
鋨 锇
賬 账
東 东
賒 赊
鱷 鳄
鷄 鸡
現 现
氂 牦
蘆 芦
羋 芈
騎 骑
吒 咤
鄔 邬
攜 携
閧 哄
銩 铥
錨 锚
覯 觏
暱 昵
悵 怅
愴 怆
縶 絷
嬸 婶
璽 玺
鈾 铀
綺 绮
齷 龌
穎 颖
囑 嘱
瑒 玚
僕 仆
識 识
衚 胡
懟 怼
廡 庑
齠 龆
屢 屡
飥 饦
獨 独
濫 滥
賭 赌
赬 赪
詮 诠
學 学
韻 韵
燿 耀
況 况
蠅 蝇
舉 举
麫 面
簍 篓
瀕 濒
贗 赝
準 准
標 标
殘 残
徠 徕
嚦 呖
玨 珏
檮 梼
撲 扑
